,toxin_id,cas_number
519,T3D0619,"120-12-7"
520,T3D0621,"191-24-2"
521,T3D0622,"205-82-3"
522,T3D0624,"191-07-1"
523,T3D0625,"86-73-7"
524,T3D0627,"92-24-0"
525,T3D0628,"90-12-0"
526,T3D0629,"135-48-8"
527,T3D0630,"217-59-4"
528,T3D0631,"190-26-1"
529,T3D0632,"191-26-4"
530,T3D0633,"260-94-6"
531,T3D0634,"91-22-5"
532,T3D0635,"275-51-4"
533,T3D0636,"213-46-7"
534,T3D0637,"1980-05-07"
535,T3D0638,"19049-40-2"
536,T3D0639,"543-81-7"
537,T3D0640,"7787-46-4"
538,T3D0641,"13106-47-3"
539,T3D0642,"7787-47-5"
540,T3D0643,"11133-98-5"
541,T3D0644,"7787-49-7"
542,T3D0645,"7787-52-2"
543,T3D0646,"13327-32-7"
544,T3D0647,"7787-53-3"
545,T3D0648,"1304-56-9"
546,T3D0649,"12232-27-8"
547,T3D0650,"13598-15-7"
548,T3D0651,"13597-99-4"
549,T3D0652,"13510-49-1"
550,T3D0653,"71-48-7"
551,T3D0654,"917-69-1"
552,T3D0655,"513-79-10"
553,T3D0658,"7789-43-7"
554,T3D0659,"7646-79-9"
555,T3D0660,"10026-17-2"
556,T3D0661,"15238-00-3"
557,T3D0662,"21041-93-0"
558,T3D0663,"61789-51-3"
559,T3D0664,"21158-51-0"
560,T3D0665,"10141-05-6"
561,T3D0666,"1307-96-6"
562,T3D0667,"1308-04-9"
563,T3D0668,"1308-06-1"
564,T3D0669,"10124-43-3"
565,T3D0670,"10026-18-3"
566,T3D0671,"1277-43-6"
567,T3D0672,"13870-90-1"
568,T3D0673,"68-19-9"
569,T3D0674,"36499-65-7"
570,T3D0675,"10210-68-1"
571,T3D0676,"10534-89-1"
572,T3D0677,"13422-51-0"
573,T3D0678,"12190-79-3"
574,T3D0679,"13422-55-4"
575,T3D0680,"14167-18-1"
576,T3D0681,"13600-98-1"
577,T3D0682,"207802-43-5"
578,T3D0683,"1295-35-8"
579,T3D0684,"373-02-4"
580,T3D0685,"15699-18-0"
581,T3D0686,"3333-67-3"
582,T3D0687,"7718-54-9"
583,T3D0688,"14721-18-7"
584,T3D0689,"557-19-7"
585,T3D0690,"13463-39-3"
586,T3D0691,"13462-88-9"
587,T3D0692,"10028-18-9"
588,T3D0693,"12054-48-7"
589,T3D0694,"13462-90-3"
590,T3D0695,"13138-45-9"
591,T3D0696,"1313-99-1"
592,T3D0697,"7786-81-4"
593,T3D0698,"12035-72-2"
594,T3D0699,"13770-89-3"
595,T3D0700,"7789-09-5"
596,T3D0701,"10294-40-3"
597,T3D0702,"56320-90-2"
598,T3D0703,"10060-08-9"
599,T3D0704,"10294-52-7"
600,T3D0705,"7789-00-6"
601,T3D0706,"7778-50-9"
602,T3D0707,"26299-14-9"
603,T3D0708,"20039-37-6"
604,T3D0709,"7784-01-2"
605,T3D0710,"7775-11-3"
606,T3D0711,"10588-01-9"
607,T3D0712,"7789-06-2"
608,T3D0713,"13530-65-9"
609,T3D0714,"7788-98-9"
610,T3D0715,"14307-35-8"
611,T3D0716,"14018-95-2"
612,T3D0717,"18454-12-1"
613,T3D0718,"11103-86-9"
614,T3D0719,"15930-94-6"
615,T3D0720,"557-34-6"
616,T3D0721,"12039-35-9"
617,T3D0722,"12006-40-5"
618,T3D0723,"7699-45-8"
619,T3D0724,"10361-95-2"
620,T3D0725,"3486-35-9"
621,T3D0726,"7646-85-7"
622,T3D0727,"557-21-1"
623,T3D0728,"7783-49-5"
624,T3D0729,"4468-02-04"
625,T3D0730,"14018-82-7"
626,T3D0731,"20427-58-1"
627,T3D0732,"7779-86-4"
628,T3D0733,"10139-47-6"
629,T3D0734,"13767-32-3"
630,T3D0735,"7779-88-6"
631,T3D0736,"1314-13-2"
632,T3D0737,"1314-22-3"
633,T3D0738,"7779-90-0"
634,T3D0739,"1314-84-7"
635,T3D0740,"13463-41-7"
636,T3D0741,"7446-26-6"
637,T3D0742,"1315-09-9"
638,T3D0743,"557-05-1"
639,T3D0744,"7733-02-0"
640,T3D0745,"1314-98-3"
641,T3D0746,"1315-11-3"
642,T3D0747,"16871-71-9"
643,T3D0748,"557-20-0"
644,T3D0749,"544-97-8"
645,T3D0753,"544-92-3"
646,T3D0754,"460-19-5"
647,T3D0755,"506-68-3"
648,T3D0756,"506-77-4"
649,T3D0758,"506-78-5"
650,T3D0759,"592-01-8"
651,T3D0760,"1762-95-4"
652,T3D0761,"151-50-8"
653,T3D0762,"13746-66-2"
654,T3D0763,"13943-58-3"
655,T3D0764,"506-61-6"
656,T3D0765,"506-64-9"
657,T3D0766,"143-33-9"
658,T3D0767,"13601-19-9"
659,T3D0768,"14402-89-2"
660,T3D0769,"7677-24-9"
661,T3D0770,"64-17-5"
662,T3D0771,"67-56-1"
663,T3D0772,"107-21-1"
664,T3D0776,"590-28-3"
665,T3D0777,"75-13-8"
666,T3D0778,"57-06-7"
667,T3D0780,"556-61-6"
668,T3D0781,"103-72-0"
669,T3D0782,"99-65-0"
670,T3D0784,"108-70-3"
